DateTimeExt,DateTimeFormatExt,pH,Temp,ODO,,,min,max
7/17/2014 14:30,1.6,6.13,13.23333333,8.81,,,,
7/17/2014 14:45,1.61,6.06,13.18333333,8.39,,,,
7/17/2014 15:00,1.62,6.05,13.16111111,8.27,,,,
7/17/2014 15:15,1.64,6.02,13.16111111,8.06,,,,
7/17/2014 15:30,1.65,6.07,13.18888889,8.48,,,,
7/17/2014 15:45,1.66,6.09,13.22777778,8.63,,,,
7/17/2014 16:00,1.67,6.13,13.32222222,8.82,,,,
7/17/2014 16:15,1.68,6.12,13.22777778,8.72,,,,
7/17/2014 16:30,1.69,6.12,13.25,8.82,,,,
7/17/2014 16:45,1.7,6.05,13.15555556,8.28,,,,
7/17/2014 17:00,1.71,6.08,13.18888889,8.57,,,,
7/17/2014 17:15,1.72,6.07,13.18333333,8.47,,,,
7/17/2014 17:30,1.73,6.03,13.12222222,8.15,,,,
7/17/2014 17:45,1.74,6.04,13.15,8.27,,,,
7/17/2014 18:00,1.75,6.05,13.14444444,8.34,,,,
7/17/2014 18:15,1.76,6.03,13.13333333,8.19,,,,
7/17/2014 18:30,1.77,6.01,13.1,8.04,,,,
7/17/2014 18:45,1.78,6,13.10555556,7.99,,,,
